template,asset,phase,phase_start,phase_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
full_entry_exit,BTC,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
full_entry_exit,BTC,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
full_entry_exit,ETH,train,2020-01-01,2023-12-31,23246,12.466,2.6688,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,ETH,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
full_entry_exit,ETH,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
full_entry_exit,XRP,train,2020-01-01,2023-12-31,23246,-8.4668,13.1673,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,XRP,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
full_entry_exit,XRP,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
full_entry_exit,BNB,train,2020-01-01,2023-12-31,23246,-9.3655,16.4388,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,BNB,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
full_entry_exit,BNB,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
full_entry_exit,PAXG,train,2020-01-01,2023-12-31,23246,-8.0735,16.2857,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,PAXG,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
full_entry_exit,PAXG,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
kd_momentum,BTC,train,2020-01-01,2023-12-31,23246,-2.748,8.9289,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
