template,asset,regime,regime_label,regime_start,regime_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
dip_buy,BNB,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,0.263,7.352,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
dip_buy,BNB,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-6.1741,7.5659,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
dip_buy,BNB,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,-0.5353,2.4465,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
dip_buy,BNB,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,4.4827,2.0156,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
dip_buy,BNB,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,1.6254,0.7371,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
dip_buy,PAXG,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-0.049,1.6416,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
dip_buy,PAXG,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-0.055,2.4551,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
dip_buy,PAXG,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.2503,1.0087,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
dip_buy,PAXG,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,1.4561,2.961,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
dip_buy,PAXG,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.5886,0.7125,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,BTC,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-8.792,13.336,2,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
full_entry_exit,BTC,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
full_entry_exit,BTC,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
full_entry_exit,BTC,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
full_entry_exit,BTC,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,ETH,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,12.466,2.6688,2,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
full_entry_exit,ETH,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
full_entry_exit,ETH,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
full_entry_exit,ETH,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
full_entry_exit,ETH,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,XRP,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-8.4668,13.1673,2,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
full_entry_exit,XRP,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
full_entry_exit,XRP,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
full_entry_exit,XRP,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
full_entry_exit,XRP,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,BNB,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-9.3655,16.4388,2,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
full_entry_exit,BNB,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,0.0,0.0,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
full_entry_exit,BNB,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
full_entry_exit,BNB,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
full_entry_exit,BNB,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
full_entry_exit,PAXG,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-0.3993,12.3391,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
full_entry_exit,PAXG,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-7.7049,16.2857,1,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
full_entry_exit,PAXG,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.0,0.0,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
full_entry_exit,PAXG,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
full_entry_exit,PAXG,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.0,0.0,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,BTC,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,1.482,5.1557,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
kd_momentum,BTC,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-8.526,8.9289,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
kd_momentum,BTC,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,1.9271,1.1842,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
kd_momentum,BTC,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,3.2071,2.3865,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
kd_momentum,BTC,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,2.947,0.6719,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,ETH,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,3.42,7.2248,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
